+---------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|   Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|               |  ['LASTLEVELMAXPOOL', '0.008'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.000'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '0.001'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |   ['CONV2D', '21.825'], ['ADAPTIVEAVGPOOL2D', '0.008'], |                                                         |                                                         |    ['CONV2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |    ['CONV2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '1.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.001']] |                                                         |                                                         |  ['CONV2D', '1149883468832.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                         '0.000'], ['PERMUTE', '2.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|      moe      |           [['ROIALIGN', '0.008'], ['LINEAR', '21.825'], | [['LINEAR2', '43.910'], ['SILU2', '0.032'], ['LINEAR1', |               [['LINEAR', '87.821'], ['SILU', '0.063'], |            [['ROIALIGN', '0.000'], ['LINEAR', '0.000'], |  [['LINEAR2', '0.000'], ['SILU2', '0.000'], ['LINEAR1', |                [['LINEAR', '0.000'], ['SILU', '0.000'], |            [['ROIALIGN', '0.001'], ['LINEAR', '0.001'], |  [['LINEAR2', '0.001'], ['SILU2', '0.001'], ['LINEAR1', |                [['LINEAR', '0.001'], ['SILU', '0.001'], |                      [['ROIALIGN', '0.000'], ['LINEAR', |  [['LINEAR2', '2972184477696.000'], ['SILU2', '0.940'], |    [['LINEAR', '1071741140992.000'], ['SILU', '0.009'], |             [{'ROIALIGN', 'LINEAR', 'FLATTEN', 'RELU6', |            [{'LINEAR2', 'SILU2'}, {'LINEAR1', 'SILU1'}] | [{'LINEAR', 'SILU', 'MOBILEBERTPOOLER', 'GELU', 'RELU', |
|               |               ['FLATTEN', '0.000'], ['RELU6', '0.063'], |                          '43.910'], ['SILU1', '0.032']] |       ['MOBILEBERTPOOLER', '0.008'], ['GELU', '0.063'], |               ['FLATTEN', '0.000'], ['RELU6', '0.000'], |                           '0.000'], ['SILU1', '0.000']] |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.000'], |               ['FLATTEN', '0.001'], ['RELU6', '0.001'], |                           '0.001'], ['SILU1', '0.001']] |       ['MOBILEBERTPOOLER', '0.001'], ['GELU', '0.001'], |   '3378493797376.000'], ['FLATTEN', '2.000'], ['RELU6', |   ['LINEAR1', '2972184477696.000'], ['SILU1', '0.940']] |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.017'], |        'MOBILEBERTPOOLER', 'TANH'}, {'CONVTRANSPOSE1D', |                                                         |                                                'TANH'}] |
|               |       ['MOBILEBERTPOOLER', '0.008'], ['TANH', '0.038'], |                                                         |                   ['RELU', '0.063'], ['TANH', '0.038']] |       ['MOBILEBERTPOOLER', '0.000'], ['TANH', '0.000'], |                                                         |                   ['RELU', '0.000'], ['TANH', '0.000']] |       ['MOBILEBERTPOOLER', '0.001'], ['TANH', '0.001'], |                                                         |                   ['RELU', '0.001'], ['TANH', '0.001']] |       '0.000'], ['MOBILEBERTPOOLER', '0.000'], ['TANH', |                                                         |                   ['RELU', '0.006'], ['TANH', '0.000']] |     'AVGPOOL2D', 'CONVTRANSPOSE2D', 'RELU'}, {'CONV1D', |                                                         |                                                         |
|               |  ['CONVTRANSPOSE1D', '21.825'], ['AVGPOOL2D', '0.008'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                                                         |             '0.000'], ['CONVTRANSPOSE1D', '49152.000'], |                                                         |                                                         |      'GELU', 'PRELU'}, {'SILU', 'MEANSHIFT', 'SIGMOID', |                                                         |                                                         |
|               |       ['CONVTRANSPOSE2D', '21.825'], ['RELU', '0.063'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |             ['AVGPOOL2D', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                                         | 'MAXPOOL2D', 'LASTLEVELMAXPOOL', 'UPSAMPLER', 'CONV2D', |                                                         |                                                         |
|               |      ['CONV1D', '21.825'], ['GELU', '0.063'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                                                         |                                                         |          '12845056.000'], ['RELU', '0.007'], ['CONV1D', |                                                         |                                                         |                        'ADAPTIVEAVGPOOL2D', 'PERMUTE'}] |                                                         |                                                         |
|               |    '0.063'], ['SILU', '0.063'], ['MEANSHIFT', '0.002'], |                                                         |                                                         |    '0.000'], ['SILU', '0.000'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |    '0.001'], ['SILU', '0.001'], ['MEANSHIFT', '0.001'], |                                                         |                                                         |        '20458242048.000'], ['GELU', '0.079'], ['PRELU', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |           ['SIGMOID', '0.038'], ['MAXPOOL2D', '0.008'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |           ['SIGMOID', '0.001'], ['MAXPOOL2D', '0.001'], |                                                         |                                                         |    '0.000'], ['SILU', '0.010'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |  ['LASTLEVELMAXPOOL', '0.008'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.000'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '0.001'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |   ['CONV2D', '21.825'], ['ADAPTIVEAVGPOOL2D', '0.008'], |                                                         |                                                         |    ['CONV2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |    ['CONV2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '1.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.001']] |                                                         |                                                         |  ['CONV2D', '1149883468832.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                         '0.000'], ['PERMUTE', '2.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     graph     |           [['ROIALIGN', '0.008'], ['LINEAR', '21.825'], | [['GELU1', '0.032'], ['LINEAR1', '43.910'], ['LINEAR2', |               [['LINEAR', '87.821'], ['SILU', '0.063'], |            [['ROIALIGN', '0.000'], ['LINEAR', '0.000'], |  [['GELU1', '0.000'], ['LINEAR1', '0.000'], ['LINEAR2', |                [['LINEAR', '0.000'], ['SILU', '0.000'], |            [['ROIALIGN', '0.001'], ['LINEAR', '0.001'], |  [['GELU1', '0.001'], ['LINEAR1', '0.001'], ['LINEAR2', |                [['LINEAR', '0.001'], ['SILU', '0.001'], |                      [['ROIALIGN', '0.000'], ['LINEAR', |     [['GELU1', '0.000'], ['LINEAR1', '2755657728.000'], |    [['LINEAR', '1071741140992.000'], ['SILU', '0.009'], |             [{'ROIALIGN', 'LINEAR', 'FLATTEN', 'RELU6', |            [{'GELU1', 'LINEAR1'}, {'LINEAR2', 'GELU2'}] | [{'LINEAR', 'SILU', 'MOBILEBERTPOOLER', 'GELU', 'RELU', |
|               |               ['FLATTEN', '0.000'], ['RELU6', '0.063'], |                          '43.910'], ['GELU2', '0.032']] |       ['MOBILEBERTPOOLER', '0.008'], ['GELU', '0.063'], |               ['FLATTEN', '0.000'], ['RELU6', '0.000'], |                           '0.000'], ['GELU2', '0.000']] |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.000'], |               ['FLATTEN', '0.001'], ['RELU6', '0.001'], |                           '0.001'], ['GELU2', '0.001']] |       ['MOBILEBERTPOOLER', '0.001'], ['GELU', '0.001'], |   '3378493797376.000'], ['FLATTEN', '2.000'], ['RELU6', |      ['LINEAR2', '2755657728.000'], ['GELU2', '0.000']] |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.017'], |        'MOBILEBERTPOOLER', 'TANH'}, {'CONVTRANSPOSE1D', |                                                         |                                                'TANH'}] |
|               |       ['MOBILEBERTPOOLER', '0.008'], ['TANH', '0.038'], |                                                         |                   ['RELU', '0.063'], ['TANH', '0.038']] |       ['MOBILEBERTPOOLER', '0.000'], ['TANH', '0.000'], |                                                         |                   ['RELU', '0.000'], ['TANH', '0.000']] |       ['MOBILEBERTPOOLER', '0.001'], ['TANH', '0.001'], |                                                         |                   ['RELU', '0.001'], ['TANH', '0.001']] |       '0.000'], ['MOBILEBERTPOOLER', '0.000'], ['TANH', |                                                         |                   ['RELU', '0.006'], ['TANH', '0.000']] |     'AVGPOOL2D', 'CONVTRANSPOSE2D', 'RELU'}, {'CONV1D', |                                                         |                                                         |
|               |  ['CONVTRANSPOSE1D', '21.825'], ['AVGPOOL2D', '0.008'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                                                         |             '0.000'], ['CONVTRANSPOSE1D', '49152.000'], |                                                         |                                                         |      'GELU', 'PRELU'}, {'SILU', 'MEANSHIFT', 'SIGMOID', |                                                         |                                                         |
|               |       ['CONVTRANSPOSE2D', '21.825'], ['RELU', '0.063'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |             ['AVGPOOL2D', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                                         | 'MAXPOOL2D', 'LASTLEVELMAXPOOL', 'UPSAMPLER', 'CONV2D', |                                                         |                                                         |
|               |      ['CONV1D', '21.825'], ['GELU', '0.063'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                                                         |                                                         |          '12845056.000'], ['RELU', '0.007'], ['CONV1D', |                                                         |                                                         |                        'ADAPTIVEAVGPOOL2D', 'PERMUTE'}] |                                                         |                                                         |
|               |    '0.063'], ['SILU', '0.063'], ['MEANSHIFT', '0.002'], |                                                         |                                                         |    '0.000'], ['SILU', '0.000'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |    '0.001'], ['SILU', '0.001'], ['MEANSHIFT', '0.001'], |                                                         |                                                         |        '20458242048.000'], ['GELU', '0.079'], ['PRELU', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |           ['SIGMOID', '0.038'], ['MAXPOOL2D', '0.008'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |           ['SIGMOID', '0.001'], ['MAXPOOL2D', '0.001'], |                                                         |                                                         |    '0.000'], ['SILU', '0.010'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |  ['LASTLEVELMAXPOOL', '0.008'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.000'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '0.001'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |   ['CONV2D', '21.825'], ['ADAPTIVEAVGPOOL2D', '0.008'], |                                                         |                                                         |    ['CONV2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |    ['CONV2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '1.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.001']] |                                                         |                                                         |  ['CONV2D', '1149883468832.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                         '0.000'], ['PERMUTE', '2.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|      vit      |           [['ROIALIGN', '0.008'], ['LINEAR', '21.825'], |   [['LINEAR2', '43.910'], ['TANH2', '0.019'], ['GELU2', |               [['LINEAR', '87.821'], ['SILU', '0.063'], |            [['ROIALIGN', '0.000'], ['LINEAR', '0.000'], |    [['LINEAR2', '0.000'], ['TANH2', '0.000'], ['GELU2', |                [['LINEAR', '0.000'], ['SILU', '0.000'], |            [['ROIALIGN', '0.001'], ['LINEAR', '0.001'], |    [['LINEAR2', '0.001'], ['TANH2', '0.001'], ['GELU2', |                [['LINEAR', '0.001'], ['SILU', '0.001'], |                      [['ROIALIGN', '0.000'], ['LINEAR', |     [['LINEAR2', '8381399040.000'], ['TANH2', '0.000'], |    [['LINEAR', '1071741140992.000'], ['SILU', '0.009'], |             [{'ROIALIGN', 'LINEAR', 'FLATTEN', 'RELU6', |      [{'TANH2', 'LINEAR2', 'GELU2'}, {'GELU1', 'TANH1', | [{'LINEAR', 'SILU', 'MOBILEBERTPOOLER', 'GELU', 'RELU', |
|               |               ['FLATTEN', '0.000'], ['RELU6', '0.063'], |    '0.032'], ['LINEAR1', '43.910'], ['GELU1', '0.032'], |       ['MOBILEBERTPOOLER', '0.008'], ['GELU', '0.063'], |               ['FLATTEN', '0.000'], ['RELU6', '0.000'], |     '0.000'], ['LINEAR1', '0.000'], ['GELU1', '0.000'], |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.000'], |               ['FLATTEN', '0.001'], ['RELU6', '0.001'], |     '0.001'], ['LINEAR1', '0.001'], ['GELU1', '0.001'], |       ['MOBILEBERTPOOLER', '0.001'], ['GELU', '0.001'], |   '3378493797376.000'], ['FLATTEN', '2.000'], ['RELU6', |      ['GELU2', '0.001'], ['LINEAR1', '8381399040.000'], |       ['MOBILEBERTPOOLER', '0.000'], ['GELU', '0.017'], |        'MOBILEBERTPOOLER', 'TANH'}, {'CONVTRANSPOSE1D', |                                             'LINEAR1'}] |                                                'TANH'}] |
|               |       ['MOBILEBERTPOOLER', '0.008'], ['TANH', '0.038'], |                                     ['TANH1', '0.019']] |                   ['RELU', '0.063'], ['TANH', '0.038']] |       ['MOBILEBERTPOOLER', '0.000'], ['TANH', '0.000'], |                                     ['TANH1', '0.000']] |                   ['RELU', '0.000'], ['TANH', '0.000']] |       ['MOBILEBERTPOOLER', '0.001'], ['TANH', '0.001'], |                                     ['TANH1', '0.001']] |                   ['RELU', '0.001'], ['TANH', '0.001']] |       '0.000'], ['MOBILEBERTPOOLER', '0.000'], ['TANH', |                 ['GELU1', '0.001'], ['TANH1', '0.000']] |                   ['RELU', '0.006'], ['TANH', '0.000']] |     'AVGPOOL2D', 'CONVTRANSPOSE2D', 'RELU'}, {'CONV1D', |                                                         |                                                         |
|               |  ['CONVTRANSPOSE1D', '21.825'], ['AVGPOOL2D', '0.008'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.000'], ['AVGPOOL2D', '0.000'], |                                                         |                                                         |   ['CONVTRANSPOSE1D', '0.001'], ['AVGPOOL2D', '0.001'], |                                                         |                                                         |             '0.000'], ['CONVTRANSPOSE1D', '49152.000'], |                                                         |                                                         |      'GELU', 'PRELU'}, {'SILU', 'MEANSHIFT', 'SIGMOID', |                                                         |                                                         |
|               |       ['CONVTRANSPOSE2D', '21.825'], ['RELU', '0.063'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.000'], ['RELU', '0.000'], |                                                         |                                                         |        ['CONVTRANSPOSE2D', '0.001'], ['RELU', '0.001'], |                                                         |                                                         |             ['AVGPOOL2D', '0.000'], ['CONVTRANSPOSE2D', |                                                         |                                                         | 'MAXPOOL2D', 'LASTLEVELMAXPOOL', 'UPSAMPLER', 'CONV2D', |                                                         |                                                         |
|               |      ['CONV1D', '21.825'], ['GELU', '0.063'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.000'], ['GELU', '0.000'], ['PRELU', |                                                         |                                                         |       ['CONV1D', '0.001'], ['GELU', '0.001'], ['PRELU', |                                                         |                                                         |          '12845056.000'], ['RELU', '0.007'], ['CONV1D', |                                                         |                                                         |                        'ADAPTIVEAVGPOOL2D', 'PERMUTE'}] |                                                         |                                                         |
|               |    '0.063'], ['SILU', '0.063'], ['MEANSHIFT', '0.002'], |                                                         |                                                         |    '0.000'], ['SILU', '0.000'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |    '0.001'], ['SILU', '0.001'], ['MEANSHIFT', '0.001'], |                                                         |                                                         |        '20458242048.000'], ['GELU', '0.079'], ['PRELU', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |           ['SIGMOID', '0.038'], ['MAXPOOL2D', '0.008'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |           ['SIGMOID', '0.001'], ['MAXPOOL2D', '0.001'], |                                                         |                                                         |    '0.000'], ['SILU', '0.010'], ['MEANSHIFT', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |  ['LASTLEVELMAXPOOL', '0.008'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.000'], ['UPSAMPLER', '0.000'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '0.001'], |                                                         |                                                         |           ['SIGMOID', '0.000'], ['MAXPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |   ['CONV2D', '21.825'], ['ADAPTIVEAVGPOOL2D', '0.008'], |                                                         |                                                         |    ['CONV2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |    ['CONV2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         |  ['LASTLEVELMAXPOOL', '0.001'], ['UPSAMPLER', '1.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.000']] |                                                         |                                                         |                                   ['PERMUTE', '0.001']] |                                                         |                                                         |  ['CONV2D', '1149883468832.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|               |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                         '0.000'], ['PERMUTE', '2.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
